iter	RMSE
546	251.6221305
547	250.6847088
548	248.7819496
549	248.6269426
550	246.0960332
551	244.1083037
552	242.3900815
553	240.7595806
554	238.3077167
555	236.4511083
556	235.2047811
557	233.8065592
558	231.7454233
559	229.8191636
560	228.3073908
561	227.4936665
562	226.2672036
563	224.8469633
564	222.8244117
565	221.0876246
566	218.5345861
567	218.3745223
568	218.1173064
569	215.6348803
570	212.8617261
571	211.5037693
572	211.0946929
573	210.1287003
574	209.1929082
575	207.6168899
576	206.576039
577	205.6491336
578	204.2970841
579	202.6692704
580	200.775948
581	199.6759822
582	199.2022576
583	198.5807202
584	197.2779839
585	196.7123774
586	194.9039035
587	193.987231
588	193.1269805
589	191.8534244
590	191.4243673
591	188.5109917
592	188.4503157
593	186.721948
594	185.600966
595	185.5275552
596	185.1519507
597	183.0457474
598	181.5683037
599	179.7886461
600	177.9082235
601	177.829974
602	176.6035149
603	175.0439252
604	173.8131532
605	172.3840305
606	172.0184727
607	171.9156823
608	169.7422436
609	167.9468642
610	166.7483966
611	166.1155809
612	165.396502
613	165.3624422
614	164.4716604
615	163.7450696
616	162.3969618
617	160.690765
618	159.6551541
619	158.9691738
620	157.6048299
621	156.148673
622	155.7612038
623	154.386806
624	153.1544822
625	152.0374888
626	150.7382865
627	148.7407308
628	147.6214886
629	146.6655876
630	145.5861478
631	144.6022355
632	143.7666432
633	142.5741456
634	141.6023283
635	140.2668012
636	139.3036324
637	138.1985672
638	136.9805854
639	136.2211283
640	135.0505922
641	134.8854359
642	134.6159362
643	133.6217394
644	132.9594071
645	132.1112255
646	131.6829257
647	131.655902
648	130.8943593
649	130.4022803
650	129.5529572
651	129.2864493
652	128.6070714
653	127.6752727
654	127.0411929
655	126.0111411
656	125.0608018
657	123.8744541
658	122.4251084
659	120.9814546
660	120.7302471
661	119.8972499
662	118.5872176
663	117.7388664
664	116.7942178
665	115.8766197
666	114.9812405
667	114.2579361
668	113.978957
669	113.3728766
670	113.1781024
671	112.5122941
672	112.3058353
673	111.8505245
674	111.0294887
675	110.2150774
676	109.8233202
677	108.848997
678	107.9338989
679	107.5970043
680	106.9477969
681	106.5376551
682	105.335737
683	104.2340997
684	103.9300378
685	102.7338949
686	102.4953807
687	101.8660151
688	100.8723336
689	100.3863674
690	99.89114359
691	99.02570465
692	97.92706247
693	97.07019661
694	96.30242527
695	96.02010898
696	95.05384672
697	94.73866142
698	94.64432526
699	94.45555894
700	94.0235473
701	93.75445065
702	93.36031975
703	92.9395483
704	92.7800203
705	92.02982065
706	91.4753766
707	90.98137481
708	90.56326698
709	90.14629427
710	89.50900931
711	89.31607303
712	88.77768394
713	88.52388772
714	88.07905361
715	87.92480174
716	87.51695067
717	87.47989259
718	86.67190488
719	85.65097859
720	84.94532713
721	84.75411456
722	84.46066141
723	84.3021814
724	83.63555094
725	83.30618282
726	82.51568057
727	81.85451756
728	81.2448069
729	80.77512739
730	80.56584481
731	80.15502133
732	79.71257974
733	79.15526047
734	78.70660164
735	78.15496471
736	77.78209109
737	77.47322487
738	77.20874094
739	76.58674104
740	76.28756994
741	76.20251754
742	75.69004856
743	75.60270373
744	75.5792321
745	75.23147017
746	74.66665074
747	74.27436556
748	74.11347537
749	73.56777197
750	73.37553103
751	73.28338347
752	72.6233933
753	72.03288754
754	71.5695738
755	71.32300526
756	71.18297905
757	70.22307929
758	69.64619124
759	69.33091085
760	69.09476586
761	68.36555449
762	67.70161424
763	66.95439623
764	66.5225251
765	66.19776854
766	65.64355572
767	65.46351419
768	64.96258863
769	64.39784384
770	64.19748885
771	63.50896031
772	63.23582127
773	62.7213795
774	62.48100714
775	62.17978382
776	61.66699335
777	60.94535061
778	60.65053995
779	60.2380208
780	59.91181263
781	59.64360266
782	59.01390599
783	58.94710748
784	58.3900837
785	57.68843389
786	57.28940369
787	56.67230816
788	56.39658683
789	56.00695047
790	55.50391408
791	55.24818308
792	54.84614201
793	54.56454393
794	54.0849079
795	53.60064628
796	53.34665845
797	53.24594875
798	52.90879492
799	52.89165489
800	52.53438759
801	52.1773778
802	51.76437652
803	51.59181085
804	51.16489445
805	50.9155789
806	50.4720706
807	49.94659385
808	49.90183265
809	49.47399063
810	49.30040044
811	48.82408162
812	48.48465325
813	48.14265148
814	47.76396324
815	47.5182679
816	47.06291733
817	46.9063434
818	46.72340497
819	46.43486317
820	46.26587936
821	45.89942708
822	45.60719397
823	45.22895238
824	44.97505328
825	44.69606493
826	44.37834061
827	44.01223425
828	43.45684083
829	43.16829668
830	42.8426947
831	42.60986468
832	42.23938819
833	41.94227033
834	41.7130947
835	41.60984937
836	41.50481256
837	41.45861098
838	41.18166683
839	40.99549802
840	40.61989782
841	40.25733385
842	39.88002872
843	39.67633379
844	39.27560024
845	39.02937123
846	39.02051239
847	38.83080881
848	38.54768668
849	38.44606115
850	38.32856736
851	38.22350614
852	38.1057453
853	37.9901671
854	37.85205369
855	37.4729801
856	36.98506306
857	36.8363187
858	36.82473448
859	36.53875315
860	36.2262771
861	35.97322392
862	35.84496887
863	35.51081542
864	35.16199321
865	34.89788726
866	34.66082015
867	34.61563729
868	34.47100325
869	34.21303353
870	33.89101749
871	33.7290218
872	33.60672382
873	33.40346928
874	33.12639264
875	32.97653205
876	32.90581404
877	32.84469817
878	32.62158368
879	32.38723249
880	32.34683296
881	32.18654105
882	32.00140423
883	31.95189256
884	31.81768118
885	31.65746992
886	31.63489562
887	31.6141255
888	31.48398415
889	31.25282478
890	31.12257208
891	31.01946799
892	30.67438655
893	30.65818858
894	30.53504029
895	30.42887036
896	30.13058517
897	29.87986896
898	29.72782647
899	29.53416872
900	29.23496718
901	28.93133203
902	28.65715935
903	28.51766701
904	28.29754699
905	28.20468762
906	28.0504658
907	28.04107943
908	27.9926352
909	27.74743671
910	27.69878208
911	27.4305766
912	27.12833384
913	27.12432944
914	26.88501094
915	26.77598685
916	26.67208262
917	26.59790691
918	26.42215932
919	26.39052764
920	26.288407
921	26.28147796
922	26.27465195
923	25.94812242
924	25.87615231
925	25.69503525
926	25.60226636
927	25.38758896
928	25.03591373
929	24.80319195
930	24.62761958
931	24.55388837
932	24.31059953
933	24.22114799
934	24.17788974
935	24.04183058
936	23.81812603
937	23.59859889
938	23.48786203
939	23.32254449
940	23.21166118
941	23.16899693
942	22.9486078
943	22.85980154
944	22.74352739
945	22.73785822
946	22.60593845
947	22.38757421
948	22.11977385
949	22.09699421
950	21.99385078
951	21.77668072
952	21.71972738
953	21.55741002
954	21.30576972
955	21.0926106
956	20.93378523
957	20.62061833
958	20.55328943
959	20.36687626
960	20.22289854
961	20.09203603
962	19.86341958
963	19.85906392
964	19.66473212
965	19.47437314
966	19.32762012
967	19.32391117
968	19.18408464
969	19.15083796
970	19.07074454
971	18.97066657
972	18.94993657
973	18.76772569
974	18.69702911
975	18.66561545
976	18.56305342
977	18.54335684
978	18.5032383
979	18.40359426
980	18.21290138
981	18.1754262
982	18.01495285
983	17.84752966
984	17.66864674
985	17.65016338
986	17.59733631
987	17.49164096
988	17.37801093
989	17.21481865
990	17.17507269
991	17.17258996
992	17.10707858
993	16.98300241
994	16.79753255
995	16.63820115
996	16.53886952
997	16.51964082
998	16.51147003
999	16.39191028
